layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
15,3179,0.9897,0.2421,-0.041965,True
15,7026,0.8466,0.1139,0.005670,False
15,17036,1.1943,0.2991,0.003660,False
15,19072,0.7407,-0.0142,-0.000227,False
15,26969,1.3844,0.1709,-0.046853,True
16,2315,0.7116,0.0855,-0.004316,True
16,2644,0.5933,0.0000,-0.000044,True
16,9342,1.0631,-0.1567,0.003973,False
16,23582,0.5618,-0.0142,-0.000147,False
16,29523,1.1930,0.1139,0.001368,False
17,745,0.9942,0.0570,-0.002639,True
17,2677,1.1240,0.1567,-0.001265,True
17,11375,3.5346,0.3276,-0.032564,True
17,18795,0.8365,0.0712,-0.000578,True
17,30909,0.7436,-0.0142,0.000655,False
18,18438,0.9079,-0.0142,-0.000181,False
18,28301,1.3743,-0.0570,-0.002259,False
18,28938,1.1932,0.1139,-0.004492,True
18,29527,0.7862,0.0000,0.000154,False
18,30335,0.8391,-0.0570,0.001807,False
19,2068,1.0725,0.0142,0.007359,False
19,8831,4.5953,0.3276,-0.041507,True
19,9594,1.5971,-0.5127,-0.069948,False
19,13827,1.4497,-0.0855,0.006674,False
19,17961,0.9716,0.0712,-0.003251,True
20,6692,0.7307,-0.1567,-0.016613,False
20,11280,0.7965,0.2136,-0.061818,True
20,12536,1.2025,0.1139,-0.007279,True
20,17104,0.8670,0.0000,0.000968,False
20,29624,0.6889,0.0000,0.000342,False
21,1265,0.6354,0.0285,-0.013647,True
21,9492,0.3632,0.0000,0.000023,False
21,10909,0.5896,-0.0997,0.041446,False
21,21805,0.6101,0.0712,-0.002635,True
21,27501,1.3079,0.0285,-0.008748,True
22,10093,0.6744,-1.0255,-0.058022,False
22,13622,0.6003,0.0000,0.000565,False
22,15114,0.9727,0.0427,-0.005281,True
22,19878,0.7075,0.0142,-0.000310,True
22,22950,0.9816,0.1139,0.007692,False
23,7617,0.5142,0.2136,0.017344,False
23,10506,1.7869,0.0855,0.003169,False
23,20826,0.6517,-0.0142,-0.000104,False
23,20848,0.5041,0.3133,0.009452,False
23,26133,0.7368,0.0570,-0.003549,True
24,4121,0.6658,0.0712,-0.010667,True
24,11052,0.6405,0.8831,0.013658,False
24,11392,0.5079,-0.7691,0.001934,False
24,16312,0.8259,0.0427,0.000942,False
24,26573,0.6762,0.0000,-0.000346,True
25,2806,0.7879,0.3133,-0.044114,True
25,7314,0.7059,0.5412,0.033360,False
25,18299,1.1661,0.0142,0.001435,False
25,28111,1.0515,-1.5525,-0.004052,False
25,29216,0.8528,0.0142,-0.000362,True
26,3836,1.1873,-0.0285,0.014606,False
26,17487,3.4377,0.2421,-0.032467,True
26,28814,0.6791,0.0570,-0.000120,True
26,30360,0.6406,0.0142,-0.000595,True
26,31241,0.6123,0.2991,0.039404,False
27,1765,1.2153,0.0997,-0.001628,True
27,10699,0.8811,0.0427,0.012167,False
27,15903,0.8749,0.0427,0.014646,False
27,18623,1.2425,-2.8201,-0.011343,False
27,29443,1.3468,-0.1567,0.001612,False
28,2611,0.9684,0.0997,0.018612,False
28,21103,1.5643,0.0855,-0.007532,True
28,22459,1.0558,-2.7774,-0.018681,False
28,31247,0.6195,0.0142,0.000441,False
28,32593,0.9782,-0.0712,-0.000721,False
29,9220,4.3560,0.0570,-0.001957,True
29,9502,1.4564,-0.0142,0.002554,False
29,16919,2.7311,0.0000,-0.002161,True
29,26368,1.7544,0.0712,-0.005175,True
29,31431,2.3930,0.0285,-0.008261,True
30,0,3.0617,0.0712,0.009977,False
30,1595,1.1629,0.1424,-0.042454,True
30,16953,1.3871,-7.3351,-0.080366,False
30,17243,2.3541,-0.2421,0.010667,False
30,21848,1.5618,0.0142,-0.002053,True
31,8870,1.6898,-9.3719,-0.091417,False
31,11511,1.6427,-8.0900,-0.054144,False
31,16237,1.2200,-10.2122,-0.018788,False
31,18891,1.1161,0.1424,0.002580,False
31,30886,1.5797,0.5270,0.014378,False
