layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
21,15952,0.3848,-0.0142,-0.000302,False
22,2179,0.3987,-0.0142,0.000084,False
22,3793,0.4219,-0.0142,-0.000710,False
22,10928,0.4654,0.0000,-0.000008,True
22,13278,0.4582,0.0285,-0.000784,True
22,15481,0.3957,0.0000,0.000017,False
23,4195,0.3826,0.0142,0.000077,False
23,4842,0.4784,0.0285,0.000057,False
23,6742,0.3816,0.0142,-0.000144,True
23,8261,0.4150,0.0000,0.000905,False
23,14607,0.3764,0.0142,0.000254,False
24,1239,0.3468,0.0000,-0.000011,True
24,6149,0.3849,0.0000,0.000143,False
24,11181,0.3670,0.0000,-0.000085,True
24,12175,0.3653,0.0000,0.000171,False
24,16112,0.4608,0.0000,-0.000004,True
25,7439,0.5352,-0.0997,0.002113,False
25,8734,0.3994,0.0000,0.000149,False
25,13579,0.4773,0.0285,-0.000661,True
25,13953,0.4781,-0.0142,-0.000127,False
25,15799,0.4136,0.0142,-0.000010,True
26,5205,0.3587,0.0427,0.000135,False
26,6136,0.4174,0.0000,0.000006,False
26,8437,0.4009,0.0142,0.000516,False
26,13781,0.4769,0.0285,-0.000009,True
26,14884,0.4567,-0.6267,0.027687,False
27,34,0.4746,-0.3276,0.030439,False
27,3466,0.3129,0.0000,0.000173,False
27,9371,0.3014,-0.0285,-0.001097,False
27,9417,0.6475,-0.2991,0.001494,False
27,14572,0.3193,0.0000,-0.000090,True
28,696,0.4415,0.0000,-0.000036,True
28,1940,0.6388,-0.0142,-0.000420,False
28,3586,0.3368,-0.0142,0.000204,False
28,8128,0.4343,-0.0285,-0.000150,False
28,13026,0.4086,0.0285,0.000604,False
29,185,0.3473,0.0142,0.000106,False
29,2814,0.3798,0.0285,0.000405,False
29,2875,0.3892,0.0000,0.000022,False
29,15173,0.4682,0.0000,-0.000407,True
29,16180,0.4017,0.0285,0.000391,False
30,1164,0.3687,-0.0142,0.000016,False
30,1332,0.3823,0.0142,0.000583,False
30,1650,0.4245,0.0427,0.000544,False
30,14533,0.4540,0.0427,-0.000693,True
30,16128,0.6304,0.0712,-0.000123,True
31,2814,0.4451,0.0142,0.000156,False
31,3479,0.3439,0.0427,-0.000191,True
31,5575,0.3757,0.0570,-0.000262,True
31,6005,0.5054,0.0000,-0.000026,True
31,10344,0.5017,0.0142,-0.000034,True
32,1133,0.3639,0.0000,0.000065,False
32,1296,0.3415,0.0000,0.000046,False
32,10716,0.3407,0.0000,0.000003,False
32,12122,0.4789,0.0000,-0.000022,True
32,15858,0.3355,0.0000,0.000028,False
33,1138,0.3992,-0.0570,-0.004460,False
33,4535,0.3479,0.0285,0.000389,False
33,5629,0.4347,0.0000,-0.000132,True
33,10153,0.4480,0.0142,-0.000148,True
33,10635,0.3472,-0.0285,0.000118,False
34,4759,0.3430,0.0000,-0.000035,True
34,6649,0.3515,0.0000,-0.000013,True
34,10404,0.4229,0.0142,-0.000092,True
34,11460,0.4105,0.0000,0.000342,False
34,16072,0.3336,0.0000,0.000122,False
35,3223,0.3457,-0.0570,0.000806,False
35,5036,0.3679,0.0000,0.000016,False
35,7210,0.3771,0.0000,0.000096,False
35,8076,0.3850,0.0142,-0.000065,True
35,11277,0.3372,0.0000,0.000008,False
36,4425,0.4426,0.0000,0.000041,False
36,6860,0.3695,-0.0142,-0.000107,False
36,11488,0.4581,-0.0285,-0.005608,False
36,14252,0.3559,0.0000,0.000042,False
36,16192,0.3605,0.0000,0.000104,False
37,1720,0.3605,0.0712,-0.001701,True
37,2444,0.3818,0.0000,-0.001280,True
37,5325,0.3774,0.0000,0.000001,False
37,12047,0.4702,0.0855,-0.000608,True
37,12855,0.4256,-0.0142,-0.000110,False
38,2492,0.3426,0.0000,0.000016,False
38,3947,0.4441,-0.0142,-0.000188,False
38,6463,0.3598,0.0000,0.000003,False
38,12873,0.3847,0.0000,-0.000019,True
38,13505,0.3937,0.0000,0.000062,False
39,5074,0.3773,0.0000,-0.000011,True
39,5263,0.3739,-0.0285,-0.000088,False
39,10554,0.4076,0.0000,0.000097,False
39,14449,0.4215,-0.0142,-0.003192,False
39,15422,0.3596,0.0142,-0.001203,True
40,462,0.3757,0.0000,-0.000041,True
40,3740,0.3774,0.0142,0.000021,False
40,10186,0.3992,-0.0142,0.000000,False
40,11828,0.3648,-0.0285,-0.000098,False
40,15368,0.4233,-0.0142,-0.000748,False
41,3612,0.3610,0.0142,-0.000573,True
41,6874,0.3677,-0.0142,-0.000011,False
41,11758,0.4090,-0.0712,0.001820,False
41,12185,0.4283,-0.1139,-0.000147,False
41,14546,0.5127,0.0712,-0.000324,True
