layer,feature_idx,effect_size,acc_delta_pct,ent_delta,beneficial
10,6124,1.4179,0.0570,-0.000373,True
10,6841,1.3985,-0.3276,0.002519,False
10,15869,1.6470,-0.3846,0.059026,False
11,5059,1.4430,-0.1424,0.000555,False
11,7770,1.4799,-0.0142,-0.000490,False
11,9264,1.5881,-0.2279,0.044712,False
11,13498,1.2442,0.0855,0.000084,False
11,15846,1.3144,-0.0142,-0.000349,False
12,7046,1.4557,-0.1282,0.038765,False
12,7408,1.4448,-0.0142,-0.000250,False
12,8587,1.5431,0.0142,-0.000293,True
12,14620,1.5114,0.0427,0.002684,False
12,15648,1.3475,-0.2706,-0.001278,False
13,1714,1.5339,-0.2421,0.052913,False
13,9079,1.7957,-0.0285,-0.000015,False
13,11012,1.8241,0.0142,0.002984,False
13,11263,1.4566,-0.0285,-0.000368,False
13,14144,1.4166,-0.1994,0.000678,False
14,3275,1.8246,0.0285,0.000018,False
14,9018,1.3504,-0.0997,-0.000680,False
14,12581,1.4551,-0.0427,-0.000259,False
14,13190,1.5216,-0.1424,0.007616,False
14,15310,1.6237,-0.0712,-0.001398,False
15,180,1.8370,0.0570,0.000345,False
15,2552,1.6137,0.0855,0.000118,False
15,4528,1.8083,-0.0570,-0.000479,False
15,12925,1.5929,0.0712,-0.000699,True
15,15934,1.7279,-0.0427,0.001694,False
16,5450,1.3505,-0.0285,0.000042,False
16,11333,1.4950,-0.3561,0.044226,False
16,13640,1.6766,-0.1709,-0.003541,False
16,15586,1.5175,-0.0997,0.008268,False
16,15922,1.7330,0.0000,-0.001440,True
17,1116,1.3555,-0.0712,0.001420,False
17,4932,1.8884,-0.1282,0.009999,False
17,6256,1.5126,-0.3703,0.040334,False
17,15079,1.4463,-0.0712,-0.004804,False
17,15109,1.2883,-0.0712,-0.000563,False
18,7193,1.8998,-0.0285,0.006684,False
18,7462,1.2717,-0.0142,-0.001737,False
18,8778,1.2127,0.0427,0.000775,False
18,10125,1.7167,-0.2421,-0.001748,False
18,11333,1.4965,-0.3418,0.039836,False
19,180,1.4244,-0.0142,0.003784,False
19,1904,1.4741,-0.0427,-0.000027,False
19,7597,1.5770,0.0855,-0.001181,True
19,12183,1.7203,-0.2564,-0.002277,False
19,13909,1.6150,-0.1567,0.036009,False
20,3452,1.5949,-0.1852,0.041447,False
20,5245,1.1746,-0.1424,-0.001013,False
20,6907,1.5242,-0.3846,0.013318,False
20,8910,1.4900,-0.1567,-0.001375,False
20,15942,1.8166,-0.0285,0.007503,False
21,5219,1.5845,-0.2849,0.037035,False
21,7739,1.6323,0.0712,-0.008587,True
21,9916,1.6083,0.0427,-0.003064,True
21,10459,1.8464,-0.2849,-0.001416,False
21,13720,1.7795,-0.0427,0.001016,False
22,1018,1.4502,-0.2279,-0.003290,False
22,2165,1.5402,0.0142,0.000256,False
22,2329,1.7374,-0.1282,0.001423,False
22,9827,1.6233,-0.4273,0.037867,False
22,15373,1.4642,-0.0142,-0.005150,False
23,389,1.9204,-0.2564,0.035494,False
23,5848,1.5597,-0.1282,-0.008118,False
23,8870,1.6851,0.0142,-0.000086,True
23,9187,2.5661,-0.1282,-0.053740,False
23,10365,1.5726,-0.0997,0.002574,False
24,2942,2.6544,0.0570,-0.004374,True
24,6155,1.6479,-0.0712,-0.002759,False
24,8226,1.6108,-0.1282,0.000166,False
24,8457,1.7122,-0.0142,0.005410,False
24,15561,1.7333,-0.0855,-0.000310,False
25,3362,1.6586,-0.0285,-0.000062,False
25,4008,1.5032,0.0285,-0.000706,True
25,5100,2.3791,0.0712,-0.006450,True
25,7625,1.6938,-0.0285,0.012403,False
25,9662,1.8023,-0.0570,0.001849,False
26,7439,1.5093,0.0285,-0.004261,True
26,12815,1.4617,-0.3561,-0.005704,False
26,14921,1.4808,0.0142,0.010696,False
26,15524,2.0440,-0.0427,-0.000811,False
26,15898,1.7689,-0.0570,-0.000009,False
27,663,1.6406,0.0427,-0.000784,True
27,7498,1.4839,0.0285,0.002106,False
27,8537,1.8258,-0.0142,-0.001596,False
27,9166,1.7996,-0.0427,-0.000324,False
27,13288,1.4860,0.0142,0.000389,False
28,920,1.6849,0.0000,-0.005773,True
28,4428,1.7608,-0.0570,-0.001149,False
28,8129,2.3095,0.0855,-0.116928,True
28,8416,1.7835,0.0285,-0.001271,True
28,12030,1.7842,0.0712,-0.000538,True
29,5517,1.5366,-0.0712,0.000639,False
29,8608,1.6238,0.0712,0.000426,False
29,9948,1.8654,0.0142,-0.003566,True
29,11481,2.9776,-0.0855,-0.012855,False
29,16225,1.6026,-0.0285,-0.000124,False
30,1493,2.3539,-0.1139,-0.017241,False
30,7830,1.6303,0.0855,-0.005130,True
30,8279,1.8716,-0.0570,-0.000107,False
30,8791,1.9899,-0.1852,-0.004311,False
30,10564,1.4552,-0.0142,-0.001931,False
31,548,1.2703,-0.0712,-0.000034,False
31,3916,1.3416,-0.0712,-0.004066,False
31,7606,1.3808,-0.0855,0.010159,False
31,12400,1.6801,-0.0285,0.000386,False
31,15418,1.3170,0.0855,0.000498,False
32,1195,2.1839,-0.1424,-0.000866,False
32,2606,1.6929,0.0000,-0.003957,True
32,10516,2.2435,-0.1139,-0.013090,False
32,14638,2.4940,-0.1424,-0.004254,False
32,15732,1.6813,-0.1282,-0.001533,False
33,542,1.7189,-0.0285,-0.000815,False
33,4301,2.1238,-0.0427,-0.013448,False
33,4883,2.0112,0.0712,-0.001486,True
33,10770,2.1374,0.0427,0.005443,False
33,15578,1.9347,-0.0855,-0.002984,False
34,1778,1.7613,-2.4071,-0.018400,False
34,7508,2.6340,-0.0855,-0.020198,False
34,8378,1.8026,0.0855,-0.000288,True
34,10822,1.8709,-0.2279,0.007149,False
34,11324,2.5492,-0.0285,-0.010046,False
35,5971,1.8219,0.0712,-0.026870,True
35,7648,1.6175,0.0142,0.001075,False
35,8577,1.6164,0.0000,0.001241,False
35,9312,1.9380,-0.1994,-0.008394,False
35,11724,1.8027,-0.0570,0.000681,False
36,4301,2.9828,-0.0997,-0.010681,False
36,8626,1.8652,0.1424,-0.000355,True
36,9123,1.3653,-0.0427,-0.017994,False
36,12607,1.5789,0.0000,-0.000670,True
36,13899,1.4726,-0.0712,-0.015298,False
37,1122,1.8400,-0.0142,0.000325,False
37,1699,1.8018,0.0142,-0.001795,True
37,14973,1.7600,-0.0712,-0.004297,False
37,15354,2.4777,0.0000,-0.007389,True
37,15884,3.0844,-0.0285,-0.003382,False
38,75,2.5009,-0.0712,0.001070,False
38,105,1.6089,0.0285,-0.003687,True
38,1872,1.7782,0.0427,-0.001072,True
38,10196,1.4414,0.0427,-0.005244,True
38,11296,1.4976,-0.1139,-0.048146,False
39,1077,2.4069,-0.0712,-0.001233,False
39,2836,1.5695,-0.6694,-0.019583,False
39,5084,1.7914,-0.0285,-0.033760,False
39,9210,1.8733,0.0997,-0.018377,True
39,12263,2.6690,-0.1282,0.005074,False
40,5531,1.7887,-0.2136,-0.017427,False
40,9359,1.3436,-0.1282,-0.002735,False
40,9665,1.2108,-0.0855,-0.058110,False
40,14458,1.3856,0.0427,-0.000264,True
40,15131,1.2556,-0.0285,0.000431,False
41,710,2.0346,-0.0997,-0.000240,False
41,3807,1.3278,0.0427,-0.000818,True
41,5672,1.2694,-0.0427,0.001077,False
41,8885,1.2341,-0.0142,-0.002519,False
41,10963,1.7319,0.0285,-0.004328,True
